tier,oracle,algorithm,top_k,n_seeds,threshold,call_to_threshold,final_score,reached
full,qed,screening,100,5,0.9,861,0.9047413471822934,True
full,qed,screening,100,5,0.93,,0.9047413471822934,False
full,qed,screening,100,5,0.94,,0.9047413471822934,False
full,qed,screening,100,5,0.945,,0.9047413471822934,False
full,qed,graph_ga,100,5,0.9,2049,0.9262846431689541,True
full,qed,graph_ga,100,5,0.93,,0.9262846431689541,False
full,qed,graph_ga,100,5,0.94,,0.9262846431689541,False
full,qed,graph_ga,100,5,0.945,,0.9262846431689541,False
full,qed,smiles_ga,100,5,0.9,455,0.9436360139770585,True
full,qed,smiles_ga,100,5,0.93,826,0.9436360139770585,True
full,qed,smiles_ga,100,5,0.94,1340,0.9436360139770585,True
full,qed,smiles_ga,100,5,0.945,,0.9436360139770585,False
full,qed,stoned,100,5,0.9,603,0.9449467833324267,True
full,qed,stoned,100,5,0.93,1583,0.9449467833324267,True
full,qed,stoned,100,5,0.94,2559,0.9449467833324267,True
full,qed,stoned,100,5,0.945,,0.9449467833324267,False
full,qed,gpbo,100,5,0.9,1817,0.9436995400828678,True
full,qed,gpbo,100,5,0.93,4106,0.9436995400828678,True
full,qed,gpbo,100,5,0.94,7672,0.9436995400828678,True
full,qed,gpbo,100,5,0.945,,0.9436995400828678,False
full,logp,screening,100,5,5,,4.720921800000003,False
full,logp,screening,100,5,10,,4.720921800000003,False
full,logp,screening,100,5,15,,4.720921800000003,False
full,logp,screening,100,5,20,,4.720921800000003,False
full,logp,graph_ga,100,5,5,390,16.249985639999984,True
full,logp,graph_ga,100,5,10,1738,16.249985639999984,True
full,logp,graph_ga,100,5,15,7833,16.249985639999984,True
full,logp,graph_ga,100,5,20,,16.249985639999984,False
full,logp,smiles_ga,100,5,5,258,23.411055199999996,True
full,logp,smiles_ga,100,5,10,904,23.411055199999996,True
full,logp,smiles_ga,100,5,15,1932,23.411055199999996,True
full,logp,smiles_ga,100,5,20,3708,23.411055199999996,True
full,logp,stoned,100,5,5,433,27.29396110000003,True
full,logp,stoned,100,5,10,1673,27.29396110000003,True
full,logp,stoned,100,5,15,3897,27.29396110000003,True
full,logp,stoned,100,5,20,6196,27.29396110000003,True
full,logp,gpbo,100,5,5,358,18.583517099999995,True
full,logp,gpbo,100,5,10,526,18.583517099999995,True
full,logp,gpbo,100,5,15,2763,18.583517099999995,True
full,logp,gpbo,100,5,20,,18.583517099999995,False
full,sascore,screening,100,5,8.0,780,8.042297635281923,True
full,sascore,screening,100,5,8.5,,8.042297635281923,False
full,sascore,screening,100,5,8.9,,8.042297635281923,False
full,sascore,graph_ga,100,5,8.0,329,8.912657288744079,True
full,sascore,graph_ga,100,5,8.5,660,8.912657288744079,True
full,sascore,graph_ga,100,5,8.9,2792,8.912657288744079,True
full,sascore,smiles_ga,100,5,8.0,996,8.399870919254756,True
full,sascore,smiles_ga,100,5,8.5,,8.399870919254756,False
full,sascore,smiles_ga,100,5,8.9,,8.399870919254756,False
full,sascore,stoned,100,5,8.0,777,8.295537542919268,True
full,sascore,stoned,100,5,8.5,,8.295537542919268,False
full,sascore,stoned,100,5,8.9,,8.295537542919268,False
full,sascore,gpbo,100,5,8.0,366,8.901680339991568,True
full,sascore,gpbo,100,5,8.5,1230,8.901680339991568,True
full,sascore,gpbo,100,5,8.9,9789,8.901680339991568,True
