tier,oracle,algorithm,seed,n_molecules,max_call,best_score,final_top1,final_top10,final_top100,auc_top10,path
full,logp,gpbo,0,10001,10001,21.586700000000036,21.586700000000036,19.672510000000013,17.890456599999997,16.740704821547197,oracle_benchmark_results/full/logp/gpbo/seed_0/results_gp_bo_logp_0.yaml
full,logp,gpbo,1,10001,10001,27.58202000000004,27.58202000000004,24.619678000000025,21.852915000000024,19.798252579071466,oracle_benchmark_results/full/logp/gpbo/seed_1/results_gp_bo_logp_1.yaml
full,logp,gpbo,2,10001,10001,22.237800000000036,22.237800000000036,20.32219600000002,17.990171999999987,17.127841732056154,oracle_benchmark_results/full/logp/gpbo/seed_2/results_gp_bo_logp_2.yaml
full,logp,gpbo,3,10001,10001,23.39340000000004,23.39340000000004,20.254202000000017,18.199403599999997,17.10269371135822,oracle_benchmark_results/full/logp/gpbo/seed_3/results_gp_bo_logp_3.yaml
full,logp,gpbo,4,10001,10001,20.297700000000013,20.297700000000013,19.060430000000004,16.984638299999975,16.51429407472188,oracle_benchmark_results/full/logp/gpbo/seed_4/results_gp_bo_logp_4.yaml
full,logp,graph_ga,0,10001,10001,19.69170000000001,19.69170000000001,18.928040000000017,17.657268000000002,14.604739675648299,oracle_benchmark_results/full/logp/graph_ga/seed_0/results_graph_ga_logp_0.yaml
full,logp,graph_ga,1,10001,10001,17.248799999999967,17.248799999999967,16.53206199999996,15.53513559999996,14.246854937822054,oracle_benchmark_results/full/logp/graph_ga/seed_1/results_graph_ga_logp_1.yaml
full,logp,graph_ga,2,10001,10001,16.539999999999964,16.539999999999964,15.588049999999964,14.629695999999967,13.095126179197925,oracle_benchmark_results/full/logp/graph_ga/seed_2/results_graph_ga_logp_2.yaml
full,logp,graph_ga,3,10001,10001,19.657700000000023,19.657700000000023,19.08293000000002,17.780837000000005,13.875342363279541,oracle_benchmark_results/full/logp/graph_ga/seed_3/results_graph_ga_logp_3.yaml
full,logp,graph_ga,4,10001,10001,17.04659999999998,17.04659999999998,16.47470999999998,15.646991599999973,13.151228142201639,oracle_benchmark_results/full/logp/graph_ga/seed_4/results_graph_ga_logp_4.yaml
full,logp,screening,0,1000,1000,7.994220000000007,7.994220000000007,5.782607000000003,4.720921800000003,5.409348366769845,oracle_benchmark_results/full/logp/screening/seed_0/results_screening_logp_0.yaml
full,logp,screening,1,1000,1000,7.994220000000007,7.994220000000007,5.782607000000003,4.720921800000003,5.45689708923016,oracle_benchmark_results/full/logp/screening/seed_1/results_screening_logp_1.yaml
full,logp,screening,2,1000,1000,7.994220000000007,7.994220000000007,5.782607000000003,4.720921800000003,5.435488371103178,oracle_benchmark_results/full/logp/screening/seed_2/results_screening_logp_2.yaml
full,logp,screening,3,1000,1000,7.994220000000007,7.994220000000007,5.782607000000003,4.720921800000003,5.132679929785721,oracle_benchmark_results/full/logp/screening/seed_3/results_screening_logp_3.yaml
full,logp,screening,4,1000,1000,7.994220000000007,7.994220000000007,5.782607000000003,4.720921800000003,5.239038983698418,oracle_benchmark_results/full/logp/screening/seed_4/results_screening_logp_4.yaml
full,logp,smiles_ga,0,10001,10001,25.853899999999992,25.853899999999992,25.768939999999994,25.441501999999996,20.50846699181669,oracle_benchmark_results/full/logp/smiles_ga/seed_0/results_smiles_ga_logp_0.yaml
full,logp,smiles_ga,1,10001,10001,24.658899999999996,24.658899999999996,24.565440000000002,24.43430299999999,20.893586189996885,oracle_benchmark_results/full/logp/smiles_ga/seed_1/results_smiles_ga_logp_1.yaml
full,logp,smiles_ga,2,10001,10001,24.968399999999992,24.968399999999992,24.938179999999996,24.88206699999999,21.007330177098158,oracle_benchmark_results/full/logp/smiles_ga/seed_2/results_smiles_ga_logp_2.yaml
full,logp,smiles_ga,3,10001,10001,23.1174,23.1174,23.10757,23.06054,18.75401142697314,oracle_benchmark_results/full/logp/smiles_ga/seed_3/results_smiles_ga_logp_3.yaml
full,logp,smiles_ga,4,9238,9238,19.2507,19.2507,19.2507,19.236864,16.428366691075844,oracle_benchmark_results/full/logp/smiles_ga/seed_4/results_smiles_ga_logp_4.yaml
full,logp,stoned,0,10001,10001,27.356990000000042,27.356990000000042,27.169710000000045,26.65017860000004,18.20175339896725,oracle_benchmark_results/full/logp/stoned/seed_0/results_stoned_logp_0.yaml
full,logp,stoned,1,10001,10001,28.747400000000027,28.747400000000027,28.41766900000003,27.846920600000036,17.825075613222026,oracle_benchmark_results/full/logp/stoned/seed_1/results_stoned_logp_1.yaml
full,logp,stoned,2,10001,10001,27.790400000000023,27.790400000000023,27.732390000000027,27.251881300000022,17.400254087212705,oracle_benchmark_results/full/logp/stoned/seed_2/results_stoned_logp_2.yaml
full,logp,stoned,3,10001,10001,28.437400000000018,28.437400000000018,28.08607900000002,27.560562700000013,17.098886463205268,oracle_benchmark_results/full/logp/stoned/seed_3/results_stoned_logp_3.yaml
full,logp,stoned,4,10001,10001,27.829400000000035,27.829400000000035,27.677440000000036,27.16026230000003,18.26139175378176,oracle_benchmark_results/full/logp/stoned/seed_4/results_stoned_logp_4.yaml
full,qed,gpbo,0,10001,10001,0.9480996638013459,0.9480996638013459,0.9479783773251252,0.9463119987448542,0.9421460614781675,oracle_benchmark_results/full/qed/gpbo/seed_0/results_gp_bo_qed_0.yaml
full,qed,gpbo,1,10001,10001,0.9482552571393114,0.9482552571393114,0.9466239497389409,0.9414680226656178,0.9404398461802107,oracle_benchmark_results/full/qed/gpbo/seed_1/results_gp_bo_qed_1.yaml
full,qed,gpbo,2,10001,10001,0.9483220305042266,0.9483220305042266,0.9475390291162062,0.945679055861748,0.943293779241748,oracle_benchmark_results/full/qed/gpbo/seed_2/results_gp_bo_qed_2.yaml
full,qed,gpbo,3,10001,10001,0.9468560563050533,0.9468560563050533,0.9465189437515711,0.9403624914606121,0.9388012921032888,oracle_benchmark_results/full/qed/gpbo/seed_3/results_gp_bo_qed_3.yaml
full,qed,gpbo,4,10001,10001,0.9481198134766196,0.9481198134766196,0.9475816740145093,0.9446761316815067,0.9427608392524726,oracle_benchmark_results/full/qed/gpbo/seed_4/results_gp_bo_qed_4.yaml
full,qed,graph_ga,0,4270,4270,0.9438155170336182,0.9438155170336182,0.9345623666897339,0.917692491901725,0.9049403190226225,oracle_benchmark_results/full/qed/graph_ga/seed_0/results_graph_ga_qed_0.yaml
full,qed,graph_ga,1,3980,3980,0.9456277546828757,0.9456277546828757,0.9406687029893573,0.9288152474791252,0.9152918075058322,oracle_benchmark_results/full/qed/graph_ga/seed_1/results_graph_ga_qed_1.yaml
full,qed,graph_ga,2,4700,4700,0.9448106480478723,0.9448106480478723,0.9424300644627472,0.9302235309692005,0.9183679088631912,oracle_benchmark_results/full/qed/graph_ga/seed_2/results_graph_ga_qed_2.yaml
full,qed,graph_ga,3,4517,4517,0.9428894141196087,0.9428894141196087,0.9402622544384514,0.9249171963901298,0.9128243032568932,oracle_benchmark_results/full/qed/graph_ga/seed_3/results_graph_ga_qed_3.yaml
full,qed,graph_ga,4,4376,4376,0.944246433005371,0.944246433005371,0.9421853077672283,0.9297747491045903,0.9114012779187701,oracle_benchmark_results/full/qed/graph_ga/seed_4/results_graph_ga_qed_4.yaml
full,qed,screening,0,1000,1000,0.9440517923484039,0.9440517923484039,0.9361042180243164,0.9047413471822934,0.9227355512385589,oracle_benchmark_results/full/qed/screening/seed_0/results_screening_qed_0.yaml
full,qed,screening,1,1000,1000,0.9440517923484039,0.9440517923484039,0.9361042180243164,0.9047413471822934,0.9206930968975378,oracle_benchmark_results/full/qed/screening/seed_1/results_screening_qed_1.yaml
full,qed,screening,2,1000,1000,0.9440517923484039,0.9440517923484039,0.9361042180243164,0.9047413471822934,0.9213909458712358,oracle_benchmark_results/full/qed/screening/seed_2/results_screening_qed_2.yaml
full,qed,screening,3,1000,1000,0.9440517923484039,0.9440517923484039,0.9361042180243164,0.9047413471822934,0.9205900114163824,oracle_benchmark_results/full/qed/screening/seed_3/results_screening_qed_3.yaml
