tier,oracle,algorithm,seed,n_molecules,max_call,best_score,final_top1,final_top10,final_top100,auc_top10,path
medium,hba,gpbo,0,1001,1001,24.0,24.0,21.7,18.11,16.104885590599874,oracle_benchmark_results_part2_evaluator/medium/hba/gpbo/seed_0/results_gp_bo_hba_0.yaml
medium,hba,gpbo,1,1001,1001,25.0,25.0,20.6,16.86,15.194346130060417,oracle_benchmark_results_part2_evaluator/medium/hba/gpbo/seed_1/results_gp_bo_hba_1.yaml
medium,hba,gpbo,2,1001,1001,24.0,24.0,22.3,18.42,16.39559488130917,oracle_benchmark_results_part2_evaluator/medium/hba/gpbo/seed_2/results_gp_bo_hba_2.yaml
medium,hba,graph_ga,0,1001,1001,16.0,16.0,14.6,12.23,10.583341658341658,oracle_benchmark_results_part2_evaluator/medium/hba/graph_ga/seed_0/results_graph_ga_hba_0.yaml
medium,hba,graph_ga,1,1001,1001,17.0,17.0,14.7,11.9,10.546928071928072,oracle_benchmark_results_part2_evaluator/medium/hba/graph_ga/seed_1/results_graph_ga_hba_1.yaml
medium,hba,graph_ga,2,1001,1001,17.0,17.0,14.6,11.47,10.423401598401599,oracle_benchmark_results_part2_evaluator/medium/hba/graph_ga/seed_2/results_graph_ga_hba_2.yaml
medium,hba,graph_mcts,0,1000,1000,10.0,10.0,9.8,6.77,7.133595634920636,oracle_benchmark_results_part2_evaluator/medium/hba/graph_mcts/seed_0/results_graph_mcts_hba_0.yaml
medium,hba,graph_mcts,1,1000,1000,10.0,10.0,9.6,7.58,8.407056746031744,oracle_benchmark_results_part2_evaluator/medium/hba/graph_mcts/seed_1/results_graph_mcts_hba_1.yaml
medium,hba,graph_mcts,2,1000,1000,13.0,13.0,10.5,7.16,7.670445634920634,oracle_benchmark_results_part2_evaluator/medium/hba/graph_mcts/seed_2/results_graph_mcts_hba_2.yaml
medium,hba,mimosa,0,1001,1001,9.0,9.0,8.2,6.59,7.563360845503703,oracle_benchmark_results_part2_evaluator/medium/hba/mimosa/seed_0/results_mimosa_hba_0.yaml
medium,hba,mimosa,1,1001,1001,9.0,9.0,8.2,6.59,7.6771993879136735,oracle_benchmark_results_part2_evaluator/medium/hba/mimosa/seed_1/results_mimosa_hba_1.yaml
medium,hba,mimosa,2,1001,1001,9.0,9.0,8.2,6.6,7.3237326165897585,oracle_benchmark_results_part2_evaluator/medium/hba/mimosa/seed_2/results_mimosa_hba_2.yaml
medium,hba,moldqn,0,1001,1001,21.0,21.0,20.2,15.67,18.734232037803466,oracle_benchmark_results_part2_evaluator/medium/hba/moldqn/seed_0/results_moldqn_hba_0.yaml
medium,hba,moldqn,1,1001,1001,17.0,17.0,16.3,13.58,12.500603761318047,oracle_benchmark_results_part2_evaluator/medium/hba/moldqn/seed_1/results_moldqn_hba_1.yaml
medium,hba,moldqn,2,1001,1001,22.0,22.0,19.2,14.97,14.507063174920317,oracle_benchmark_results_part2_evaluator/medium/hba/moldqn/seed_2/results_moldqn_hba_2.yaml
medium,hba,reinvent,0,1001,1001,17.0,17.0,11.8,9.59,8.830923441637728,oracle_benchmark_results_part2_evaluator/medium/hba/reinvent/seed_0/results_reinvent_hba_0.yaml
medium,hba,reinvent,1,1001,1001,11.0,11.0,10.6,8.84,8.077842792128505,oracle_benchmark_results_part2_evaluator/medium/hba/reinvent/seed_1/results_reinvent_hba_1.yaml
medium,hba,reinvent,2,1001,1001,11.0,11.0,10.4,8.83,8.417933653647939,oracle_benchmark_results_part2_evaluator/medium/hba/reinvent/seed_2/results_reinvent_hba_2.yaml
medium,hba,reinvent_selfies,0,1001,1001,13.0,13.0,11.0,8.99,8.841521177235464,oracle_benchmark_results_part2_evaluator/medium/hba/reinvent_selfies/seed_0/results_reinvent_selfies_hba_0.yaml
medium,hba,reinvent_selfies,1,1001,1001,14.0,14.0,11.8,8.86,9.032090528519102,oracle_benchmark_results_part2_evaluator/medium/hba/reinvent_selfies/seed_1/results_reinvent_selfies_hba_1.yaml
medium,hba,reinvent_selfies,2,1001,1001,16.0,16.0,12.4,9.21,8.500405546834118,oracle_benchmark_results_part2_evaluator/medium/hba/reinvent_selfies/seed_2/results_reinvent_selfies_hba_2.yaml
medium,hba,screening,0,1000,1000,9.0,9.0,8.2,6.58,7.33164246031746,oracle_benchmark_results_part2_evaluator/medium/hba/screening/seed_0/results_screening_hba_0.yaml
medium,hba,screening,1,1000,1000,9.0,9.0,8.2,6.58,7.772488492063494,oracle_benchmark_results_part2_evaluator/medium/hba/screening/seed_1/results_screening_hba_1.yaml
medium,hba,screening,2,1000,1000,9.0,9.0,8.2,6.58,7.505204761904762,oracle_benchmark_results_part2_evaluator/medium/hba/screening/seed_2/results_screening_hba_2.yaml
medium,hba,selfies_ga,0,1001,1001,8.0,8.0,7.6,6.31,5.05856326213469,oracle_benchmark_results_part2_evaluator/medium/hba/selfies_ga/seed_0/results_selfies_ga_hba_0.yaml
medium,hba,selfies_ga,1,1001,1001,7.0,7.0,7.0,6.32,5.046688628831486,oracle_benchmark_results_part2_evaluator/medium/hba/selfies_ga/seed_1/results_selfies_ga_hba_1.yaml
medium,hba,selfies_ga,2,1001,1001,8.0,8.0,7.5,6.44,4.991894216894217,oracle_benchmark_results_part2_evaluator/medium/hba/selfies_ga/seed_2/results_selfies_ga_hba_2.yaml
medium,hba,smiles_ga,0,1001,1001,16.0,16.0,15.1,13.59,10.420154845154844,oracle_benchmark_results_part2_evaluator/medium/hba/smiles_ga/seed_0/results_smiles_ga_hba_0.yaml
medium,hba,smiles_ga,1,1001,1001,17.0,17.0,16.1,15.07,11.608266733266733,oracle_benchmark_results_part2_evaluator/medium/hba/smiles_ga/seed_1/results_smiles_ga_hba_1.yaml
medium,hba,smiles_ga,2,1001,1001,16.0,16.0,15.4,13.83,10.839685314685314,oracle_benchmark_results_part2_evaluator/medium/hba/smiles_ga/seed_2/results_smiles_ga_hba_2.yaml
medium,hba,stoned,0,1001,1001,13.0,13.0,12.2,11.31,9.195805781520066,oracle_benchmark_results_part2_evaluator/medium/hba/stoned/seed_0/results_stoned_hba_0.yaml
medium,hba,stoned,1,1001,1001,11.0,11.0,11.0,10.2,8.574491381634239,oracle_benchmark_results_part2_evaluator/medium/hba/stoned/seed_1/results_stoned_hba_1.yaml
medium,hba,stoned,2,1001,1001,10.0,10.0,10.0,9.29,8.216491841491841,oracle_benchmark_results_part2_evaluator/medium/hba/stoned/seed_2/results_stoned_hba_2.yaml
medium,hbd,gpbo,0,1001,1001,19.0,19.0,17.2,13.92,11.294795680509967,oracle_benchmark_results_part2_evaluator/medium/hbd/gpbo/seed_0/results_gp_bo_hbd_0.yaml
medium,hbd,gpbo,1,1001,1001,21.0,21.0,16.8,12.94,10.569820655534938,oracle_benchmark_results_part2_evaluator/medium/hbd/gpbo/seed_1/results_gp_bo_hbd_1.yaml
medium,hbd,gpbo,2,1001,1001,15.0,15.0,14.8,12.27,9.961528947243233,oracle_benchmark_results_part2_evaluator/medium/hbd/gpbo/seed_2/results_gp_bo_hbd_2.yaml
medium,hbd,graph_ga,0,1001,1001,15.0,15.0,12.7,9.02,7.097211122211123,oracle_benchmark_results_part2_evaluator/medium/hbd/graph_ga/seed_0/results_graph_ga_hbd_0.yaml
medium,hbd,graph_ga,1,1001,1001,16.0,16.0,12.2,8.86,6.968689643689643,oracle_benchmark_results_part2_evaluator/medium/hbd/graph_ga/seed_1/results_graph_ga_hbd_1.yaml
medium,hbd,graph_ga,2,1001,1001,11.0,11.0,10.1,8.07,6.542166167166168,oracle_benchmark_results_part2_evaluator/medium/hbd/graph_ga/seed_2/results_graph_ga_hbd_2.yaml
medium,hbd,graph_mcts,0,1000,1000,9.0,9.0,8.2,5.8,7.84902896825397,oracle_benchmark_results_part2_evaluator/medium/hbd/graph_mcts/seed_0/results_graph_mcts_hbd_0.yaml
medium,hbd,graph_mcts,1,1000,1000,10.0,10.0,8.1,5.48,5.982021825396825,oracle_benchmark_results_part2_evaluator/medium/hbd/graph_mcts/seed_1/results_graph_mcts_hbd_1.yaml
medium,hbd,graph_mcts,2,1000,1000,8.0,8.0,6.8,5.09,6.064300000000001,oracle_benchmark_results_part2_evaluator/medium/hbd/graph_mcts/seed_2/results_graph_mcts_hbd_2.yaml
medium,hbd,mimosa,0,1001,1001,4.0,4.0,3.6,2.87,3.249237270665842,oracle_benchmark_results_part2_evaluator/medium/hbd/mimosa/seed_0/results_mimosa_hbd_0.yaml
medium,hbd,mimosa,1,1001,1001,4.0,4.0,3.6,2.86,3.1235118056546627,oracle_benchmark_results_part2_evaluator/medium/hbd/mimosa/seed_1/results_mimosa_hbd_1.yaml
medium,hbd,mimosa,2,1001,1001,4.0,4.0,3.6,2.87,3.14204168847026,oracle_benchmark_results_part2_evaluator/medium/hbd/mimosa/seed_2/results_mimosa_hbd_2.yaml
medium,hbd,moldqn,0,1001,1001,9.0,9.0,8.3,6.63,7.524437070865643,oracle_benchmark_results_part2_evaluator/medium/hbd/moldqn/seed_0/results_moldqn_hbd_0.yaml
medium,hbd,moldqn,1,1001,1001,7.0,7.0,6.1,4.95,5.566511266511267,oracle_benchmark_results_part2_evaluator/medium/hbd/moldqn/seed_1/results_moldqn_hbd_1.yaml
medium,hbd,moldqn,2,1001,1001,9.0,9.0,7.9,6.22,6.421698539555682,oracle_benchmark_results_part2_evaluator/medium/hbd/moldqn/seed_2/results_moldqn_hbd_2.yaml
medium,hbd,reinvent,0,1001,1001,6.0,6.0,6.0,4.9,4.428982921840064,oracle_benchmark_results_part2_evaluator/medium/hbd/reinvent/seed_0/results_reinvent_hbd_0.yaml
medium,hbd,reinvent,1,1001,1001,8.0,8.0,7.4,5.8,4.823907441764585,oracle_benchmark_results_part2_evaluator/medium/hbd/reinvent/seed_1/results_reinvent_hbd_1.yaml
medium,hbd,reinvent,2,1001,1001,9.0,9.0,8.1,6.17,4.9086064728921865,oracle_benchmark_results_part2_evaluator/medium/hbd/reinvent/seed_2/results_reinvent_hbd_2.yaml
medium,hbd,reinvent_selfies,0,1001,1001,9.0,9.0,6.6,5.09,4.923546691403834,oracle_benchmark_results_part2_evaluator/medium/hbd/reinvent_selfies/seed_0/results_reinvent_selfies_hbd_0.yaml
medium,hbd,reinvent_selfies,1,1001,1001,8.0,8.0,6.6,4.56,4.701092954664383,oracle_benchmark_results_part2_evaluator/medium/hbd/reinvent_selfies/seed_1/results_reinvent_selfies_hbd_1.yaml
medium,hbd,reinvent_selfies,2,1001,1001,7.0,7.0,5.7,4.15,4.265305726020012,oracle_benchmark_results_part2_evaluator/medium/hbd/reinvent_selfies/seed_2/results_reinvent_selfies_hbd_2.yaml
medium,hbd,screening,0,1000,1000,4.0,4.0,3.6,2.86,3.2355857142857145,oracle_benchmark_results_part2_evaluator/medium/hbd/screening/seed_0/results_screening_hbd_0.yaml
medium,hbd,screening,1,1000,1000,4.0,4.0,3.6,2.86,3.2741757936507936,oracle_benchmark_results_part2_evaluator/medium/hbd/screening/seed_1/results_screening_hbd_1.yaml
medium,hbd,screening,2,1000,1000,4.0,4.0,3.6,2.86,3.201648015873016,oracle_benchmark_results_part2_evaluator/medium/hbd/screening/seed_2/results_screening_hbd_2.yaml
medium,hbd,selfies_ga,0,1001,1001,6.0,6.0,5.7,4.58,4.0595166738023885,oracle_benchmark_results_part2_evaluator/medium/hbd/selfies_ga/seed_0/results_selfies_ga_hbd_0.yaml
medium,hbd,selfies_ga,1,1001,1001,5.0,5.0,5.0,4.23,3.7155451691165973,oracle_benchmark_results_part2_evaluator/medium/hbd/selfies_ga/seed_1/results_selfies_ga_hbd_1.yaml
medium,hbd,selfies_ga,2,1001,1001,7.0,7.0,6.9,5.39,4.312273837273837,oracle_benchmark_results_part2_evaluator/medium/hbd/selfies_ga/seed_2/results_selfies_ga_hbd_2.yaml
medium,hbd,smiles_ga,0,1000,1000,11.0,11.0,10.1,9.29,6.930008333333333,oracle_benchmark_results_part2_evaluator/medium/hbd/smiles_ga/seed_0/results_smiles_ga_hbd_0.yaml
medium,hbd,smiles_ga,1,1001,1001,11.0,11.0,10.1,9.0,6.490617715617715,oracle_benchmark_results_part2_evaluator/medium/hbd/smiles_ga/seed_1/results_smiles_ga_hbd_1.yaml
medium,hbd,smiles_ga,2,1001,1001,10.0,10.0,9.9,9.09,6.826182151182151,oracle_benchmark_results_part2_evaluator/medium/hbd/smiles_ga/seed_2/results_smiles_ga_hbd_2.yaml
medium,hbd,stoned,0,1001,1001,6.0,6.0,6.0,5.11,4.226565894423038,oracle_benchmark_results_part2_evaluator/medium/hbd/stoned/seed_0/results_stoned_hbd_0.yaml
medium,hbd,stoned,1,1001,1001,6.0,6.0,5.5,5.05,4.0551710194567345,oracle_benchmark_results_part2_evaluator/medium/hbd/stoned/seed_1/results_stoned_hbd_1.yaml
medium,hbd,stoned,2,1001,1001,8.0,8.0,7.2,6.18,4.616080348223206,oracle_benchmark_results_part2_evaluator/medium/hbd/stoned/seed_2/results_stoned_hbd_2.yaml
medium,logp,gpbo,0,1001,1001,16.787939999999974,16.787939999999974,14.312291999999976,11.486753599999988,8.693599286871853,oracle_benchmark_results_part2_evaluator/medium/logp/gpbo/seed_0/results_gp_bo_logp_0.yaml
medium,logp,gpbo,1,1001,1001,13.988139999999978,13.988139999999978,13.25876599999998,11.074890399999989,8.203058928230496,oracle_benchmark_results_part2_evaluator/medium/logp/gpbo/seed_1/results_gp_bo_logp_1.yaml
medium,logp,gpbo,2,1001,1001,14.750839999999977,14.750839999999977,13.412401999999977,11.250670199999986,8.35238197318554,oracle_benchmark_results_part2_evaluator/medium/logp/gpbo/seed_2/results_gp_bo_logp_2.yaml
medium,logp,graph_ga,0,1001,1001,10.80517999999999,10.80517999999999,9.939001999999993,8.098428600000002,7.04197024391482,oracle_benchmark_results_part2_evaluator/medium/logp/graph_ga/seed_0/results_graph_ga_logp_0.yaml
medium,logp,graph_ga,1,1001,1001,12.51449999999998,12.51449999999998,10.63838799999999,8.583464300000003,7.724948918240491,oracle_benchmark_results_part2_evaluator/medium/logp/graph_ga/seed_1/results_graph_ga_logp_1.yaml
medium,logp,graph_ga,2,1001,1001,10.92689999999999,10.92689999999999,9.732179999999996,7.827924500000003,7.052910626532201,oracle_benchmark_results_part2_evaluator/medium/logp/graph_ga/seed_2/results_graph_ga_logp_2.yaml
medium,logp,graph_mcts,0,1000,1000,5.790980000000005,5.790980000000005,5.346217000000004,4.270730500000003,4.997197945658735,oracle_benchmark_results_part2_evaluator/medium/logp/graph_mcts/seed_0/results_graph_mcts_logp_0.yaml
medium,logp,graph_mcts,1,1000,1000,5.910020000000005,5.910020000000005,5.390103000000004,4.076464500000003,4.803161866658734,oracle_benchmark_results_part2_evaluator/medium/logp/graph_mcts/seed_1/results_graph_mcts_logp_1.yaml
medium,logp,graph_mcts,2,1000,1000,6.062900000000005,6.062900000000005,5.419077000000004,4.062236500000002,4.835938215658735,oracle_benchmark_results_part2_evaluator/medium/logp/graph_mcts/seed_2/results_graph_mcts_logp_2.yaml
medium,logp,mimosa,0,1001,1001,7.994220000000007,7.994220000000007,5.6629860000000045,4.635201500000004,5.236058707451284,oracle_benchmark_results_part2_evaluator/medium/logp/mimosa/seed_0/results_mimosa_logp_0.yaml
medium,logp,mimosa,1,1001,1001,7.994220000000007,7.994220000000007,5.767583000000004,4.623420000000003,5.296999058600135,oracle_benchmark_results_part2_evaluator/medium/logp/mimosa/seed_1/results_mimosa_logp_1.yaml
medium,logp,mimosa,2,1001,1001,7.994220000000007,7.994220000000007,5.767583000000004,4.640009800000003,5.290506265393342,oracle_benchmark_results_part2_evaluator/medium/logp/mimosa/seed_2/results_mimosa_logp_2.yaml
medium,logp,moldqn,0,1001,1001,5.188320000000005,5.188320000000005,4.801179000000003,3.3783581000000016,4.698678627031702,oracle_benchmark_results_part2_evaluator/medium/logp/moldqn/seed_0/results_moldqn_logp_0.yaml
medium,logp,moldqn,1,1001,1001,5.188320000000005,5.188320000000005,4.801179000000003,3.2712214000000017,4.698678627031702,oracle_benchmark_results_part2_evaluator/medium/logp/moldqn/seed_1/results_moldqn_logp_1.yaml
medium,logp,moldqn,2,1001,1001,5.188320000000005,5.188320000000005,4.801179000000003,3.4212445000000016,4.698678627031702,oracle_benchmark_results_part2_evaluator/medium/logp/moldqn/seed_2/results_moldqn_logp_2.yaml
medium,logp,reinvent,0,1001,1001,8.495600000000005,8.495600000000005,7.832570000000007,6.084110300000005,5.845638875283453,oracle_benchmark_results_part2_evaluator/medium/logp/reinvent/seed_0/results_reinvent_logp_0.yaml
medium,logp,reinvent,1,1001,1001,7.3171400000000055,7.3171400000000055,6.528620000000005,5.247425300000004,5.4175750541046295,oracle_benchmark_results_part2_evaluator/medium/logp/reinvent/seed_1/results_reinvent_logp_1.yaml
medium,logp,reinvent,2,1001,1001,6.923220000000005,6.923220000000005,6.568186000000004,5.530975900000004,5.366694654504231,oracle_benchmark_results_part2_evaluator/medium/logp/reinvent/seed_2/results_reinvent_logp_2.yaml
medium,logp,reinvent_selfies,0,1001,1001,8.533800000000003,8.533800000000003,7.205691000000006,5.800416100000006,5.397471261397338,oracle_benchmark_results_part2_evaluator/medium/logp/reinvent_selfies/seed_0/results_reinvent_selfies_logp_0.yaml
medium,logp,reinvent_selfies,1,1001,1001,10.309589999999993,10.309589999999993,7.895509000000006,6.1408347000000045,5.769248198460274,oracle_benchmark_results_part2_evaluator/medium/logp/reinvent_selfies/seed_1/results_reinvent_selfies_logp_1.yaml
medium,logp,reinvent_selfies,2,1001,1001,8.540700000000003,8.540700000000003,7.771177000000004,6.069803100000004,5.708650467191543,oracle_benchmark_results_part2_evaluator/medium/logp/reinvent_selfies/seed_2/results_reinvent_selfies_logp_2.yaml
medium,logp,screening,0,1000,1000,7.994220000000007,7.994220000000007,5.782607000000003,4.720921800000003,5.336361717658736,oracle_benchmark_results_part2_evaluator/medium/logp/screening/seed_0/results_screening_logp_0.yaml
medium,logp,screening,1,1000,1000,7.994220000000007,7.994220000000007,5.782607000000003,4.720921800000003,5.408039388658734,oracle_benchmark_results_part2_evaluator/medium/logp/screening/seed_1/results_screening_logp_1.yaml
medium,logp,screening,2,1000,1000,7.994220000000007,7.994220000000007,5.782607000000003,4.720921800000003,5.352252475658735,oracle_benchmark_results_part2_evaluator/medium/logp/screening/seed_2/results_screening_logp_2.yaml
medium,logp,selfies_ga,0,1001,1001,6.260000000000005,6.260000000000005,5.707180000000005,4.7232157000000035,4.015695852615639,oracle_benchmark_results_part2_evaluator/medium/logp/selfies_ga/seed_0/results_selfies_ga_logp_0.yaml
medium,logp,selfies_ga,1,1001,1001,7.278300000000006,7.278300000000006,6.659810000000006,5.286726600000005,4.3618471724148895,oracle_benchmark_results_part2_evaluator/medium/logp/selfies_ga/seed_1/results_selfies_ga_logp_1.yaml
