tier,oracle,algorithm,top_k,n_seeds,threshold,call_to_threshold,final_score,reached
small,herg,gpbo,10,1,0.8,36,0.894881132505834,True
small,herg,gpbo,10,1,0.9,,0.894881132505834,False
small,herg,gpbo,10,1,0.95,,0.894881132505834,False
small,herg,gpbo,10,1,0.99,,0.894881132505834,False
small,herg,graph_ga,10,1,0.8,34,0.9526754489121959,True
small,herg,graph_ga,10,1,0.9,74,0.9526754489121959,True
small,herg,graph_ga,10,1,0.95,95,0.9526754489121959,True
small,herg,graph_ga,10,1,0.99,,0.9526754489121959,False
small,herg,graph_mcts,10,1,0.8,1,0.994184356981059,True
small,herg,graph_mcts,10,1,0.9,3,0.994184356981059,True
small,herg,graph_mcts,10,1,0.95,8,0.994184356981059,True
small,herg,graph_mcts,10,1,0.99,17,0.994184356981059,True
small,herg,mimosa,10,1,0.8,23,0.9294131221924907,True
small,herg,mimosa,10,1,0.9,84,0.9294131221924907,True
small,herg,mimosa,10,1,0.95,,0.9294131221924907,False
small,herg,mimosa,10,1,0.99,,0.9294131221924907,False
small,herg,moldqn,10,1,0.8,1,0.9816786726777357,True
small,herg,moldqn,10,1,0.9,2,0.9816786726777357,True
small,herg,moldqn,10,1,0.95,14,0.9816786726777357,True
small,herg,moldqn,10,1,0.99,,0.9816786726777357,False
small,herg,reinvent,10,1,0.8,17,0.9870982957235539,True
small,herg,reinvent,10,1,0.9,24,0.9870982957235539,True
small,herg,reinvent,10,1,0.95,36,0.9870982957235539,True
small,herg,reinvent,10,1,0.99,,0.9870982957235539,False
small,herg,reinvent_selfies,10,1,0.8,22,0.963493393587996,True
small,herg,reinvent_selfies,10,1,0.9,43,0.963493393587996,True
small,herg,reinvent_selfies,10,1,0.95,89,0.963493393587996,True
small,herg,reinvent_selfies,10,1,0.99,,0.963493393587996,False
small,herg,screening,10,1,0.8,17,0.9388387790089476,True
small,herg,screening,10,1,0.9,49,0.9388387790089476,True
small,herg,screening,10,1,0.95,,0.9388387790089476,False
small,herg,screening,10,1,0.99,,0.9388387790089476,False
small,herg,selfies_ga,10,1,0.8,1,0.988169898263077,True
small,herg,selfies_ga,10,1,0.9,1,0.988169898263077,True
small,herg,selfies_ga,10,1,0.95,20,0.988169898263077,True
small,herg,selfies_ga,10,1,0.99,,0.988169898263077,False
small,herg,smiles_ga,10,1,0.8,34,0.9389432297367604,True
small,herg,smiles_ga,10,1,0.9,84,0.9389432297367604,True
small,herg,smiles_ga,10,1,0.95,,0.9389432297367604,False
small,herg,smiles_ga,10,1,0.99,,0.9389432297367604,False
small,herg,stoned,10,1,0.8,22,0.9502031017589614,True
small,herg,stoned,10,1,0.9,43,0.9502031017589614,True
small,herg,stoned,10,1,0.95,89,0.9502031017589614,True
small,herg,stoned,10,1,0.99,,0.9502031017589614,False
small,dili,gpbo,10,1,0.8,20,0.9858756624505626,True
small,dili,gpbo,10,1,0.9,28,0.9858756624505626,True
small,dili,gpbo,10,1,0.95,38,0.9858756624505626,True
small,dili,gpbo,10,1,0.99,,0.9858756624505626,False
small,dili,graph_ga,10,1,0.8,18,0.9798059859406205,True
small,dili,graph_ga,10,1,0.9,25,0.9798059859406205,True
small,dili,graph_ga,10,1,0.95,38,0.9798059859406205,True
small,dili,graph_ga,10,1,0.99,,0.9798059859406205,False
small,dili,graph_mcts,10,1,0.8,25,0.9482493039441762,True
small,dili,graph_mcts,10,1,0.9,31,0.9482493039441762,True
small,dili,graph_mcts,10,1,0.95,,0.9482493039441762,False
small,dili,graph_mcts,10,1,0.99,,0.9482493039441762,False
small,dili,mimosa,10,1,0.8,6,0.9915477007621668,True
small,dili,mimosa,10,1,0.9,21,0.9915477007621668,True
small,dili,mimosa,10,1,0.95,44,0.9915477007621668,True
small,dili,mimosa,10,1,0.99,100,0.9915477007621668,True
small,dili,moldqn,10,1,0.8,1,0.9611388183855161,True
